Country,Year,Gender,Cause of death,Age/All age,Age/0-4,Age/5-14,Age/15-59,Age/60+,Country Code,
Cote d'Ivoire,2019,Female,NCD,4.6%,10.9%,22.6%,36.9%,71.8%,CIV,
Croatia,2019,Female,NCD,3.6%,41.5%,76.8%,87.4%,92.6%,HRV,
Cuba,2019,Female,NCD,6.4%,38.0%,62.8%,85.2%,84.0%,CUB,
Curacao,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,CUW,
Cyprus,2019,Female,NCD,3.3%,29.7%,69.4%,85.1%,91.7%,CYP,
Czechia,2019,Female,NCD,2.7%,37.2%,53.6%,85.8%,91.3%,CZE,
Denmark,2019,Female,NCD,2.4%,27.7%,72.6%,88.5%,90.7%,DNK,
Djibouti,2019,Female,NCD,5.0%,11.3%,15.7%,50.9%,75.9%,DJI,
Dominica,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,DMA,
Dominican Republic,2019,Female,NCD,3.3%,22.3%,39.8%,68.8%,91.0%,DOM,
Ecuador,2019,Female,NCD,2.9%,33.2%,42.4%,75.3%,87.3%,ECU,
"Egypt, Arab Rep.",2019,Female,NCD,1.2%,30.1%,54.9%,86.3%,95.7%,EGY,
El Salvador,2019,Female,NCD,8.1%,32.6%,54.2%,54.3%,77.0%,SLV,
Equatorial Guinea,2019,Female,NCD,3.8%,7.9%,19.1%,45.3%,79.7%,GNQ,
Eritrea,2019,Female,NCD,5.7%,12.9%,17.7%,47.2%,70.0%,ERI,
Estonia,2019,Female,NCD,1.8%,41.1%,72.6%,85.2%,95.0%,EST,
Eswatini,2019,Female,NCD,2.3%,15.4%,12.1%,24.0%,81.1%,SWZ,
Ethiopia,2019,Female,NCD,7.0%,10.2%,16.5%,48.1%,71.9%,ETH,
Faroe Islands,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,FRO,
Fiji,2019,Female,NCD,1.5%,30.2%,42.5%,86.5%,93.7%,FJI,
Finland,2019,Female,NCD,3.2%,52.8%,73.6%,82.9%,95.5%,FIN,
France,2019,Female,NCD,4.9%,40.6%,67.4%,86.2%,88.0%,FRA,
French Polynesia,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,PYF,
Gabon,2019,Female,NCD,3.3%,10.9%,13.7%,33.4%,77.0%,GAB,
"Gambia, The",2019,Female,NCD,5.9%,10.7%,23.3%,39.5%,70.0%,GMB,
Georgia,2019,Female,NCD,1.2%,36.6%,44.2%,85.8%,97.2%,GEO,
Germany,2019,Female,NCD,3.4%,43.5%,72.8%,88.9%,91.9%,DEU,
Ghana,2019,Female,NCD,3.5%,11.6%,21.0%,45.9%,77.0%,GHA,
Gibraltar,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,GIB,
Greece,2019,Female,NCD,2.6%,37.3%,59.4%,88.6%,81.2%,GRC,
Greenland,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,GRL,
Grenada,2019,Female,NCD,2.5%,21.7%,56.0%,85.0%,86.3%,GRD,
Guam,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,GUM,
Guatemala,2019,Female,NCD,2.9%,20.6%,36.1%,65.4%,79.7%,GTM,
Guinea,2019,Female,NCD,4.8%,6.6%,18.0%,44.6%,70.5%,GIN,
Guinea-Bissau,2019,Female,NCD,4.3%,10.4%,13.2%,34.7%,65.5%,GNB,
Guyana,2019,Female,NCD,2.2%,20.8%,39.1%,67.1%,86.7%,GUY,
Haiti,2019,Female,NCD,2.0%,13.3%,39.2%,67.3%,89.7%,HTI,
Honduras,2019,Female,NCD,3.3%,28.6%,29.7%,64.8%,90.9%,HND,
"Hong Kong SAR, China",2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,HKG,
Hungary,2019,Female,NCD,2.4%,39.3%,62.7%,88.6%,95.8%,HUN,
Iceland,2019,Female,NCD,3.9%,38.6%,71.7%,85.1%,90.9%,ISL,
India,2019,Female,NCD,6.3%,11.6%,17.5%,60.9%,75.4%,IND,
Indonesia,2019,Female,NCD,2.4%,15.4%,23.8%,72.8%,86.8%,IDN,
"Iran, Islamic Rep.",2019,Female,NCD,2.3%,26.1%,47.6%,75.9%,94.2%,IRN,
Iraq,2019,Female,NCD,2.4%,21.5%,29.8%,67.2%,95.7%,IRQ,
Ireland,2019,Female,NCD,1.6%,53.4%,81.2%,87.9%,92.1%,IRL,
Isle of Man,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,IMN,
Israel,2019,Female,NCD,2.3%,53.0%,69.0%,86.2%,87.0%,ISR,
Italy,2019,Female,NCD,3.0%,43.7%,80.3%,89.3%,91.2%,ITA,
Jamaica,2019,Female,NCD,3.0%,25.8%,44.6%,74.3%,93.6%,JAM,
Japan,2019,Female,NCD,3.4%,61.6%,62.7%,81.9%,85.9%,JPN,
Jordan,2019,Female,NCD,2.0%,30.0%,40.6%,81.0%,94.8%,JOR,
Kazakhstan,2019,Female,NCD,1.5%,29.8%,40.7%,81.6%,96.4%,KAZ,
Kenya,2019,Female,NCD,5.7%,11.9%,10.9%,43.6%,71.6%,KEN,
Kiribati,2019,Female,NCD,1.2%,17.0%,35.1%,81.6%,84.3%,KIR,
"Korea, Dem. People's Rep.",2019,Female,NCD,2.4%,18.6%,24.6%,64.0%,92.3%,PRK,
"Korea, Rep.",2019,Female,NCD,4.0%,37.5%,50.5%,71.4%,80.8%,KOR,
Kosovo,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,XKX,
Kuwait,2019,Female,NCD,1.9%,48.7%,55.6%,84.3%,92.4%,KWT,
Kyrgyz Republic,2019,Female,NCD,1.2%,21.6%,41.4%,80.3%,97.6%,KGZ,
Lao PDR,2019,Female,NCD,2.2%,15.4%,31.6%,69.3%,85.9%,LAO,
Latvia,2019,Female,NCD,2.0%,40.3%,58.8%,82.8%,96.0%,LVA,
Lebanon,2019,Female,NCD,1.6%,39.4%,61.2%,84.9%,94.4%,LBN,
Lesotho,2019,Female,NCD,2.6%,11.8%,6.5%,40.3%,77.8%,LSO,
Liberia,2019,Female,NCD,6.1%,7.9%,13.3%,35.1%,68.2%,LBR,
Libya,2019,Female,NCD,2.7%,32.1%,40.6%,70.2%,92.8%,LBY,
Liechtenstein,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,LIE,
Lithuania,2019,Female,NCD,2.3%,57.9%,38.2%,83.9%,95.0%,LTU,
Luxembourg,2019,Female,NCD,4.2%,44.1%,81.3%,83.9%,90.1%,LUX,
"Macao SAR, China",2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,MAC,
Madagascar,2019,Female,NCD,4.3%,10.5%,14.1%,49.6%,75.0%,MDG,
Malawi,2019,Female,NCD,5.9%,11.8%,15.9%,40.4%,69.5%,MWI,
Malaysia,2019,Female,NCD,2.6%,41.0%,46.8%,74.4%,80.3%,MYS,
Maldives,2019,Female,NCD,2.8%,38.2%,34.3%,78.6%,91.7%,MDV,
Mali,2019,Female,NCD,5.2%,7.7%,17.1%,46.7%,72.8%,MLI,
Malta,2019,Female,NCD,1.9%,50.7%,58.6%,90.6%,90.2%,MLT,
Marshall Islands,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,MHL,
Mauritania,2019,Female,NCD,4.8%,10.1%,18.5%,43.8%,72.6%,MRT,
Mauritius,2019,Female,NCD,1.1%,30.0%,62.2%,86.8%,93.1%,MUS,
Mexico,2019,Female,NCD,2.0%,34.3%,58.7%,81.3%,91.3%,MEX,
"Micronesia, Fed. Sts.",2019,Female,NCD,1.6%,18.8%,45.4%,82.4%,91.5%,FSM,
Moldova,2019,Female,NCD,1.5%,30.2%,41.6%,84.2%,97.2%,MDA,
Monaco,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,MCO,
Mongolia,2019,Female,NCD,1.1%,26.5%,32.4%,83.4%,97.9%,MNG,
Montenegro,2019,Female,NCD,1.6%,19.3%,39.9%,88.4%,97.4%,MNE,
Morocco,2019,Female,NCD,2.3%,20.5%,45.3%,82.5%,94.0%,JUL,
Mozambique,2019,Female,NCD,6.0%,8.6%,17.5%,33.4%,74.0%,MOZ,
Myanmar,2019,Female,NCD,2.7%,12.4%,19.1%,69.6%,88.7%,MMR,
Namibia,2019,Female,NCD,3.2%,12.7%,11.2%,28.5%,77.3%,NAM,
Nauru,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,NRU,
Nepal,2019,Female,NCD,5.2%,13.7%,23.5%,63.1%,81.3%,NPL,
Netherlands,2019,Female,NCD,5.3%,41.6%,63.5%,87.3%,88.2%,NLD,
New Caledonia,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,NCL,
New Zealand,2019,Female,NCD,3.4%,36.2%,50.2%,83.8%,91.6%,NZL,
Nicaragua,2019,Female,NCD,2.5%,29.5%,58.5%,81.5%,93.0%,NIC,
Niger,2019,Female,NCD,5.6%,7.6%,21.5%,45.9%,70.0%,NER,
Nigeria,2019,Female,NCD,4.7%,8.4%,18.4%,38.8%,72.1%,NGA,
North Macedonia,2019,Female,NCD,1.1%,24.4%,73.9%,92.6%,98.2%,MKD,
Northern Mariana Islands,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,MNP,
Norway,2019,Female,NCD,4.0%,46.8%,71.1%,84.2%,87.4%,NOR,
Oman,2019,Female,NCD,2.0%,46.0%,50.2%,80.8%,91.9%,OMN,
Pakistan,2019,Female,NCD,2.5%,9.5%,26.4%,70.6%,85.1%,PAK,
Palau,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,PLW,
Panama,2019,Female,NCD,1.1%,34.2%,53.0%,70.7%,92.0%,PAN,
Papua New Guinea,2019,Female,NCD,3.6%,10.1%,22.7%,63.7%,85.4%,PNG,
Paraguay,2019,Female,NCD,3.0%,29.6%,50.3%,75.2%,87.4%,PRY,
Peru,2019,Female,NCD,2.5%,33.9%,40.8%,73.5%,80.7%,PER,
Philippines,2019,Female,NCD,1.5%,15.4%,43.6%,77.5%,76.7%,PHL,
Poland,2019,Female,NCD,1.9%,46.6%,59.8%,88.0%,92.5%,POL,
Portugal,2019,Female,NCD,3.3%,37.0%,69.7%,86.1%,87.9%,PRT,
Puerto Rico,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,PRI,
Qatar,2019,Female,NCD,0.9%,45.9%,68.2%,82.6%,95.1%,QAT,
Romania,2019,Female,NCD,1.2%,30.2%,46.8%,85.6%,94.7%,ROU,
Russian Federation,2019,Female,NCD,1.7%,43.5%,40.2%,77.0%,97.0%,RUS,
Rwanda,2019,Female,NCD,5.5%,16.2%,17.5%,53.5%,75.3%,RWA,
Samoa,2019,Female,NCD,2.2%,30.9%,25.3%,81.5%,91.2%,WSM,
San Marino,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,SMR,
Sao Tome and Principe,2019,Female,NCD,3.3%,16.4%,32.0%,65.3%,81.2%,STP,
Saudi Arabia,2019,Female,NCD,2.8%,41.0%,55.4%,72.4%,91.5%,SAU,
Senegal,2019,Female,NCD,5.2%,13.6%,25.3%,51.3%,74.4%,SEN,
Serbia,2019,Female,NCD,1.0%,32.4%,69.3%,91.3%,96.9%,SRB,
Seychelles,2019,Female,NCD,1.5%,34.9%,41.7%,82.2%,85.6%,SYC,
Sierra Leone,2019,Female,NCD,4.9%,9.0%,22.2%,47.7%,72.5%,SLE,
Singapore,2019,Female,NCD,1.5%,53.7%,43.5%,83.3%,73.0%,SGP,
Sint Maarten (Dutch part),2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,SXM,
Slovak Republic,2019,Female,NCD,3.4%,46.7%,58.3%,86.0%,92.1%,SVK,
Slovenia,2019,Female,NCD,5.7%,44.2%,70.4%,86.1%,91.1%,SVN,
Solomon Islands,2019,Female,NCD,3.4%,16.3%,20.3%,70.0%,75.1%,SLB,
Somalia,2019,Female,NCD,4.5%,6.6%,12.6%,37.2%,65.6%,SOM,
South Africa,2019,Female,NCD,2.8%,14.7%,14.5%,41.3%,83.0%,ZAF,
South Sudan,2019,Female,NCD,6.5%,7.7%,8.8%,29.1%,64.7%,SSD,
Spain,2019,Female,NCD,2.5%,41.9%,78.2%,88.1%,91.7%,ESP,
Sri Lanka,2019,Female,NCD,2.4%,34.9%,47.0%,72.2%,88.9%,LKA,
St. Kitts and Nevis,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,KNA,
St. Lucia,2019,Female,NCD,2.3%,26.6%,31.6%,81.7%,91.4%,LCA,
St. Martin (French part),2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,MAF,
St. Vincent and the Grenadines,2019,Female,NCD,0.9%,45.6%,57.1%,77.3%,87.5%,VCT,
Sudan,2019,Female,NCD,3.2%,11.2%,33.9%,64.2%,91.1%,SDN,
Suriname,2019,Female,NCD,3.3%,22.9%,42.6%,74.2%,90.2%,SUR,
Sweden,2019,Female,NCD,3.1%,44.4%,69.7%,79.8%,90.8%,SWE,
Switzerland,2019,Female,NCD,4.2%,50.3%,73.8%,84.5%,90.9%,CHE,
Syrian Arab Republic,2019,Female,NCD,10.6%,21.9%,45.1%,80.1%,86.9%,SYR,
Tajikistan,2019,Female,NCD,1.1%,16.7%,42.9%,80.5%,95.5%,TJK,
Tanzania,2019,Female,NCD,6.1%,11.9%,9.6%,34.9%,68.5%,TZA,
Thailand,2019,Female,NCD,2.9%,37.0%,30.5%,69.0%,85.7%,THA,
Timor-Leste,2019,Female,NCD,2.3%,13.3%,23.8%,49.4%,79.3%,TLS,
Togo,2019,Female,NCD,4.2%,7.8%,21.7%,50.5%,73.8%,TGO,
Tonga,2019,Female,NCD,3.2%,32.5%,28.9%,76.8%,88.6%,TON,
Trinidad and Tobago,2019,Female,NCD,1.7%,32.7%,46.8%,76.2%,95.0%,TTO,
Tunisia,2019,Female,NCD,1.9%,30.5%,47.4%,80.7%,94.7%,TUN,
Turkiye,2019,Female,NCD,2.0%,45.8%,60.9%,87.6%,94.0%,TUR,
Turkmenistan,2019,Female,NCD,1.3%,19.2%,42.1%,71.9%,96.5%,TKM,
Turks and Caicos Islands,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,TCA,
Tuvalu,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,TUV,
Uganda,2019,Female,NCD,5.9%,10.7%,14.8%,42.3%,73.1%,UGA,
Ukraine,2019,Female,NCD,1.1%,34.3%,46.2%,79.3%,98.2%,UKR,
United Arab Emirates,2019,Female,NCD,2.1%,44.5%,57.0%,81.6%,90.3%,ARE,
United Kingdom,2019,Female,NCD,2.4%,38.7%,68.3%,86.7%,88.8%,GBR,
United States,2019,Female,NCD,3.0%,37.7%,52.0%,82.2%,91.9%,USA,
Uruguay,2019,Female,NCD,3.3%,46.1%,50.7%,77.7%,89.5%,URY,
Uzbekistan,2019,Female,NCD,0.8%,25.9%,30.7%,83.8%,97.6%,UZB,
Vanuatu,2019,Female,NCD,2.0%,23.7%,37.0%,76.6%,86.8%,VUT,
"Venezuela, RB",2019,Female,NCD,2.9%,24.2%,26.9%,61.3%,87.7%,VEN,
Vietnam,2019,Female,NCD,5.6%,26.2%,34.6%,77.2%,88.9%,VNM,
Virgin Islands (U.S.),2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,VIR,
West Bank and Gaza,2019,Female,NCD,N/A,N/A,N/A,N/A,N/A,PSE,
"Yemen, Rep.",2019,Female,NCD,2.9%,11.4%,29.2%,59.5%,91.7%,YEM,
Zambia,2019,Female,NCD,35.2%,10.2%,12.2%,31.2%,72.6%,ZMB,
Zimbabwe,2019,Female,NCD,5.1%,12.8%,14.9%,34.3%,75.2%,ZWE,
Afghanistan,2019,Female,CDM,34.1%,76.5%,39.3%,31.8%,7.6%,AFG,
Albania,2019,Female,CDM,2.9%,63.3%,16.8%,2.2%,2.3%,ALB,
Algeria,2019,Female,CDM,13.2%,71.5%,18.6%,11.2%,3.9%,DZA,
American Samoa,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,ASM,
Andorra,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,AND,
Angola,2019,Female,CDM,61.6%,84.1%,64.7%,61.3%,23.3%,AGO,
Antigua and Barbuda,2019,Female,CDM,9.3%,42.7%,0.5%,9.5%,8.6%,ATG,
Argentina,2019,Female,CDM,18.9%,56.5%,10.1%,13.2%,19.0%,ARG,
Armenia,2019,Female,CDM,7.3%,56.4%,26.7%,6.0%,6.5%,ARM,
Aruba,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,ABW,
Australia,2019,Female,CDM,5.4%,51.7%,5.3%,3.0%,5.3%,AUS,
Austria,2019,Female,CDM,3.7%,38.9%,6.6%,2.1%,3.7%,AUT,
Azerbaijan,2019,Female,CDM,5.3%,69.1%,38.7%,7.8%,1.6%,AZE,
"Bahamas, The",2019,Female,CDM,10.7%,67.7%,31.8%,15.0%,5.7%,BHS,
Bahrain,2019,Female,CDM,5.5%,48.3%,14.6%,4.3%,3.4%,BHR,
Bangladesh,2019,Female,CDM,25.2%,82.0%,62.3%,23.9%,13.6%,BGD,
Barbados,2019,Female,CDM,13.2%,51.2%,13.1%,14.6%,12.5%,BRB,
Belarus,2019,Female,CDM,1.2%,44.6%,9.2%,3.5%,0.9%,BLR,
Belgium,2019,Female,CDM,8.6%,47.5%,11.3%,4.1%,8.7%,BEL,
Belize,2019,Female,CDM,17.8%,65.3%,35.2%,23.4%,9.1%,BLZ,
Benin,2019,Female,CDM,52.5%,86.2%,55.3%,39.5%,20.1%,BEN,
Bermuda,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,BMU,
Bhutan,2019,Female,CDM,18.9%,76.6%,49.3%,23.3%,9.6%,BTN,
Bolivia,2019,Female,CDM,18.8%,72.2%,30.9%,15.3%,15.0%,BOL,
Bosnia and Herzegovina,2019,Female,CDM,1.7%,59.2%,19.7%,1.7%,1.4%,BIH,
Botswana,2019,Female,CDM,45.3%,77.4%,66.8%,62.5%,18.2%,BWA,
Brazil,2019,Female,CDM,14.9%,61.1%,15.3%,11.9%,13.9%,BRA,
British Virgin Islands,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,VGB,
Brunei Darussalam,2019,Female,CDM,10.5%,43.5%,7.5%,9.1%,9.7%,BRN,
Bulgaria,2019,Female,CDM,1.9%,58.7%,18.4%,3.3%,1.5%,BGR,
Burkina Faso,2019,Female,CDM,55.5%,85.8%,57.8%,35.9%,24.0%,BFA,
Burundi,2019,Female,CDM,52.5%,82.4%,63.7%,45.2%,25.1%,BDI,
Cabo Verde,2019,Female,CDM,15.6%,65.2%,37.6%,18.2%,11.2%,CPV,
Cambodia,2019,Female,CDM,23.3%,75.2%,42.9%,21.7%,15.5%,KHM,
Cameroon,2019,Female,CDM,53.8%,84.2%,56.1%,48.7%,22.0%,CMR,
Canada,2019,Female,CDM,5.1%,61.3%,5.6%,3.6%,4.9%,CAN,
Cayman Islands,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,CYM,
Central African Republic,2019,Female,CDM,60.4%,91.1%,71.2%,58.0%,28.9%,CAF,
Chad,2019,Female,CDM,64.9%,87.3%,61.7%,53.6%,28.0%,TCD,
Channel Islands,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,CHI,
Chile,2019,Female,CDM,7.3%,45.1%,4.6%,5.4%,6.9%,CHL,
China,2019,Female,CDM,3.6%,58.1%,15.2%,4.0%,2.6%,CHN,
Colombia,2019,Female,CDM,10.5%,60.7%,13.0%,10.2%,7.9%,COL,
Comoros,2019,Female,CDM,43.8%,83.5%,52.2%,30.5%,18.1%,COM,
"Congo, Dem. Rep.",2019,Female,CDM,57.5%,87.9%,59.4%,51.5%,20.6%,COD,
"Congo, Rep.",2019,Female,CDM,53.0%,85.4%,68.5%,62.0%,21.7%,COG,
Costa Rica,2019,Female,CDM,6.7%,48.5%,7.7%,6.2%,5.4%,CRI,
Cote d'Ivoire,2019,Female,CDM,57.8%,84.4%,57.6%,53.0%,23.6%,CIV,
Croatia,2019,Female,CDM,3.9%,55.0%,5.9%,2.3%,3.8%,HRV,
Cuba,2019,Female,CDM,9.5%,53.6%,11.7%,7.1%,9.6%,CUB,
Curacao,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,CUW,
Cyprus,2019,Female,CDM,5.1%,66.9%,5.7%,2.8%,5.0%,CYP,
Czechia,2019,Female,CDM,5.9%,57.6%,15.6%,3.7%,5.9%,CZE,
Denmark,2019,Female,CDM,6.9%,68.9%,2.2%,2.9%,6.9%,DNK,
Djibouti,2019,Female,CDM,38.3%,84.0%,62.8%,39.2%,19.1%,DJI,
Dominica,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,DMA,
Dominican Republic,2019,Female,CDM,13.9%,70.8%,18.8%,17.1%,5.7%,DOM,
Ecuador,2019,Female,CDM,12.6%,58.8%,19.2%,9.9%,9.8%,ECU,
"Egypt, Arab Rep.",2019,Female,CDM,9.6%,66.2%,25.7%,5.6%,3.1%,EGY,
El Salvador,2019,Female,CDM,16.2%,61.7%,16.0%,12.4%,14.9%,SLV,
Equatorial Guinea,2019,Female,CDM,55.9%,89.2%,61.2%,46.2%,16.5%,GNQ,
Eritrea,2019,Female,CDM,38.4%,78.6%,58.3%,43.1%,24.3%,ERI,
Estonia,2019,Female,CDM,3.3%,44.8%,16.9%,3.3%,3.2%,EST,
Eswatini,2019,Female,CDM,48.2%,77.0%,64.8%,69.9%,16.6%,SWZ,
Ethiopia,2019,Female,CDM,44.8%,82.6%,58.8%,42.2%,21.1%,ETH,
Faroe Islands,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,FRO,
Fiji,2019,Female,CDM,9.1%,58.5%,26.9%,6.2%,4.8%,FJI,
Finland,2019,Female,CDM,1.5%,41.4%,1.5%,2.0%,1.4%,FIN,
France,2019,Female,CDM,7.1%,52.8%,4.0%,3.0%,7.1%,FRA,
French Polynesia,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,PYF,
Gabon,2019,Female,CDM,48.5%,85.7%,67.6%,60.0%,19.7%,GAB,
"Gambia, The",2019,Female,CDM,53.9%,83.1%,56.4%,53.0%,24.2%,GMB,
Georgia,2019,Female,CDM,2.5%,56.1%,25.2%,5.9%,1.6%,GEO,
Germany,2019,Female,CDM,4.7%,52.0%,5.9%,3.0%,4.6%,DEU,
Ghana,2019,Female,CDM,45.1%,83.0%,59.8%,47.1%,19.5%,GHA,
Gibraltar,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,GIB,
Greece,2019,Female,CDM,15.6%,54.2%,4.3%,3.6%,16.2%,GRC,
Greenland,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,GRL,
Grenada,2019,Female,CDM,12.7%,76.1%,14.9%,9.5%,11.2%,GRD,
Guam,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,GUM,
Guatemala,2019,Female,CDM,24.3%,71.2%,35.9%,20.2%,17.4%,GTM,
Guinea,2019,Female,CDM,57.0%,89.7%,63.6%,46.8%,24.7%,GIN,
Guinea-Bissau,2019,Female,CDM,57.0%,83.9%,65.4%,57.1%,30.2%,GNB,
Guyana,2019,Female,CDM,17.3%,71.0%,27.9%,20.2%,11.1%,GUY,
Haiti,2019,Female,CDM,24.0%,78.9%,30.4%,22.6%,8.3%,HTI,
Honduras,2019,Female,CDM,10.0%,67.2%,7.2%,8.9%,5.7%,HND,
"Hong Kong SAR, China",2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,HKG,
Hungary,2019,Female,CDM,2.0%,54.9%,6.7%,2.2%,1.9%,HUN,
Iceland,2019,Female,CDM,5.2%,60.5%,39.1%,3.3%,5.1%,ISL,
India,2019,Female,CDM,27.0%,84.8%,62.3%,24.5%,18.3%,IND,
Indonesia,2019,Female,CDM,18.7%,79.8%,63.9%,23.0%,10.8%,IDN,
"Iran, Islamic Rep.",2019,Female,CDM,8.4%,67.4%,13.6%,6.0%,3.5%,IRN,
Iraq,2019,Female,CDM,16.1%,71.0%,16.4%,7.2%,1.9%,IRQ,
Ireland,2019,Female,CDM,6.1%,44.5%,6.9%,2.1%,6.3%,IRL,
Isle of Man,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,IMN,
Israel,2019,Female,CDM,10.6%,39.4%,6.4%,5.0%,10.7%,ISR,
Italy,2019,Female,CDM,5.8%,53.4%,4.7%,3.5%,5.9%,ITA,
Jamaica,2019,Female,CDM,7.1%,72.3%,14.4%,9.3%,3.5%,JAM,
Japan,2019,Female,CDM,10.4%,29.2%,9.9%,3.0%,10.7%,JPN,
Jordan,2019,Female,CDM,9.9%,60.8%,10.3%,4.9%,3.1%,JOR,
Kazakhstan,2019,Female,CDM,4.3%,62.0%,14.5%,4.6%,2.1%,KAZ,
Kenya,2019,Female,CDM,48.8%,81.6%,74.3%,49.2%,22.7%,KEN,
Kiribati,2019,Female,CDM,22.6%,77.2%,56.0%,13.8%,14.5%,KIR,
"Korea, Dem. People's Rep.",2019,Female,CDM,10.9%,74.8%,46.0%,24.8%,5.2%,PRK,
"Korea, Rep.",2019,Female,CDM,14.2%,53.6%,6.6%,3.7%,15.2%,KOR,
Kosovo,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,XKX,
Kuwait,2019,Female,CDM,9.4%,45.7%,10.0%,5.0%,5.7%,KWT,
Kyrgyz Republic,2019,Female,CDM,9.3%,73.5%,23.2%,7.9%,1.2%,KGZ,
Lao PDR,2019,Female,CDM,26.0%,76.5%,42.5%,20.6%,11.9%,LAO,
Latvia,2019,Female,CDM,2.5%,49.6%,9.0%,6.5%,2.1%,LVA,
Lebanon,2019,Female,CDM,5.5%,53.4%,17.6%,5.3%,4.0%,LBN,
Lesotho,2019,Female,CDM,42.0%,82.9%,79.1%,48.9%,19.6%,LSO,
Liberia,2019,Female,CDM,57.2%,87.8%,61.2%,57.3%,25.7%,LBR,
Libya,2019,Female,CDM,9.7%,56.1%,12.6%,12.1%,4.5%,LBY,
Liechtenstein,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,LIE,
Lithuania,2019,Female,CDM,3.0%,34.0%,17.0%,5.6%,2.7%,LTU,
Luxembourg,2019,Female,CDM,5.7%,49.7%,N/A,3.1%,5.7%,LUX,
"Macao SAR, China",2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,MAC,
Madagascar,2019,Female,CDM,44.8%,83.0%,67.3%,41.9%,20.7%,MDG,
Malawi,2019,Female,CDM,51.2%,82.5%,65.6%,55.1%,24.6%,MWI,
Malaysia,2019,Female,CDM,17.9%,52.0%,29.1%,16.4%,17.1%,MYS,
Maldives,2019,Female,CDM,9.3%,57.7%,34.3%,12.3%,5.5%,MDV,
Mali,2019,Female,CDM,59.5%,87.2%,63.7%,44.5%,22.0%,MLI,
Malta,2019,Female,CDM,7.8%,49.2%,N/A,1.7%,7.9%,MLT,
Marshall Islands,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,MHL,
Mauritania,2019,Female,CDM,50.4%,84.0%,46.7%,44.4%,22.5%,MRT,
Mauritius,2019,Female,CDM,7.3%,66.3%,26.2%,7.5%,5.9%,MUS,
Mexico,2019,Female,CDM,9.1%,58.4%,11.7%,7.4%,6.7%,MEX,
"Micronesia, Fed. Sts.",2019,Female,CDM,13.8%,76.8%,36.1%,10.3%,6.9%,FSM,
Moldova,2019,Female,CDM,2.7%,63.0%,17.6%,6.4%,1.2%,MDA,
Monaco,2019,Female,CDM,N/A,N/A,N/A,N/A,N/A,MCO,
Mongolia,2019,Female,CDM,6.4%,65.3%,23.5%,5.8%,1.1%,MNG,
Montenegro,2019,Female,CDM,1.2%,77.7%,20.8%,1.5%,1.0%,MNE,
Morocco,2019,Female,CDM,8.3%,72.5%,20.9%,7.8%,3.7%,AUG,
Mozambique,2019,Female,CDM,56.8%,86.3%,68.0%,60.2%,20.0%,MOZ,
